layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.0010375976562500033,-0.0024888356526692767,-0.0018971125284830766,-0.004630533854166666,-0.0021420160929361966,0.0012186050415039032,-0.00208899180094401,-0.0014758427937825469,-3.2679239908856646e-05,-0.0020262400309244764,-0.0002769470214843734,-0.0007143656412760432,0.00089352925618489,0.0015996297200520865,0.0012349446614583366,-0.00223700205485026,-0.0005104700724283833,0.0020643870035807234,-0.00031890869140625,-0.0010094960530599,7.642110188802333e-05,-7.658004760742002e-05,-0.00113245646158854,-0.0018908182779947898,-0.0020867665608723966,0.00026133855183919,-0.00284101168314615,-0.00924936930338542,-0.00191720326741536,-0.00222492218017578,-0.008125559488932293,-0.0004794756571451675,-0.0027471542358398467,-0.0025427500406900966,-0.0010467529296875,-0.00356070200602214,-0.00012715657552084004,-5.668836335341136e-06,0.0022692362467447934,-0.00418116251627604,-0.00076643625895183,-0.0018491744995117166,-0.0020264943440755166,-0.0007071495056152367,-0.0028860727945963596,-0.0020997365315755267,-1.0077158610036667e-05,-0.0017800966898600273,0.0006369908650716067,0.00042371749877928333,-0.0009359995524088567,0.00019423166910807,-0.00017700195312500333,-0.0015481313069661468,-0.0018246968587239567,-0.00088348388671875,0.00047054290771483993,-0.0005447387695312365,0.00024042129516600667,-0.0006636301676432266,-0.0012338638305663964,-0.0018099466959635433,0.0004969914754231733,0.0004189809163411467
1,-0.00012420117855071314,-0.00014980435371398612,-0.0004767894744873074,-0.0003218968709309829,-0.0008496284484863318,-5.9247016906740165e-05,-0.00016739765803018742,-0.0006327291329701693,8.857250213620317e-05,0.0002379814783731991,0.00016403992970784556,0.0007061004638671834,3.276169300078367e-05,0.00026151339213051995,-0.00023155212402344,0.00198262532552083,-0.0006182829538981104,-0.0025039831797281937,-0.00030956069628398285,-8.365710576375514e-05,0.0007698059082031201,0.00055503845214842,5.375544230142719e-05,0.00103422800699869,0.00024822552998859926,-0.00015279452006022052,-8.692741394041907e-05,-0.0001341899236043263,-4.700024922688738e-05,-0.0008468031883239647,-0.00014580885569253786,-0.00024042129516601147,-0.0006159702936808203,-0.00021298726399738668,-0.0003573735555012966,-0.00017085075378417256,-0.0007974783579508464,-0.00021457672119139397,-0.0004401524861653642,7.271766662598498e-06,-0.0003076275189717533,0.00012919108072917664,-0.00031210581461588334,-0.001337909698486323,4.641215006522301e-06,-1.088778177896427e-05,-0.00025469859441120275,-0.0004722038904825797,-0.0003878275553385301,3.267923990886021e-05,0.00012919108072917,-0.00019275347391763115,0.00011135737101236708,0.00013084411621092998,0.00011621316274006965,0.0003260294596354,-3.801981608071707e-05,0.0006345748901367167,-1.165270805362741e-06,-0.0002048969268798731,-0.000262546539306644,0.00013418197631835665,-0.00019337336222330665,-0.0006699085235595644
2,-0.001776905854543052,-0.0001355955998102628,8.717974026997935e-05,0.00021102229754127764,0.00033556024233499744,4.680951436374114e-06,-0.00011001825332640874,-0.0006282210350036453,0.00014840761820474635,0.00020036697387695502,-0.00032470623652139363,-0.00039548873901366894,-0.0005879203478495346,0.0014576911926269466,-0.00035862922668456864,-0.00149141947428385,7.194677988687819e-05,-0.0008151809374491234,7.951259613035953e-05,0.0005625724792480333,9.516874949137515e-05,-3.825028737384475e-05,-0.0005112330118815166,-0.00016489823659259452,-0.000360242525736484,-0.00019256273905435262,-6.283521652221096e-05,4.3261051177974135e-05,-0.000818943977355957,-0.0004382689793904542,-0.0003371785084406466,-0.0004457871119181298,-0.00023110707600909665,1.015663146972824e-05,-9.023348490397343e-05,-0.0005440076192219967,-0.00024362206459043866,0.0005317529042561855,-0.0002705574035644533,2.6837984720866816e-05,0.0007314046223958267,8.135835329690985e-05,8.638302485148788e-05,-8.960366249084245e-05,-0.0004913091659545751,-4.2955080668120056e-05,-4.192193349201723e-05,0.0013961156209309866,-0.0003450214862823436,-0.0005517403284708692,-0.0014083067576090454,-0.00017901758352915038,-0.00028931299845377,-0.00012871026992796028,-2.9039382934563014e-05,-0.00016601880391438998,0.00329742431640625,0.0124176025390625,0.005781046549479167,0.00015984376271563735,0.00027746359507242643,-0.00035837491353352217,0.00018930435180663667,0.0038767496744791666
3,-8.208751678465805e-05,-5.422433217366869e-05,0.0006300926208496133,0.0015755693117777475,0.0014076232910156235,0.0002828836441040074,-8.46743583679248e-05,0.0021263122558593766,0.0041015625,0.0004680633544921766,0.0023761749267578102,0.0021265665690104168,0.0027058919270833335,0.00128809611002604,0.003265380859375,0.0021898905436197897,6.171862284342428e-05,1.9892056783040277e-05,8.244117101032967e-05,0.0004070599873860746,0.0013765970865885365,0.0008432984352111756,9.17673110961886e-05,-3.674825032552093e-05,0.00048589706420899007,3.217061360677669e-05,-0.00041646957397460665,-0.0001288414001464852,0.00028209288914998623,9.196599324544812e-05,0.00027635892232258423,0.00048650105794271,0.00012172857920328059,0.00088265736897785,0.0001178185145060259,-3.066758314767245e-05,5.5090586344393336e-05,0.00017490386962891333,1.850724220276567e-05,0.00017070770263671664,-2.6384989420533017e-06,-3.486474355061015e-05,-0.0002071777979532913,-0.00029269854227701695,-0.0004515568415323793,-0.00012104113896687284,0.0001942177613576156,0.00014977455139159905,0.0009168942769368461,5.943775177001713e-05,0.00071754455566405,0.0005561192830403666,0.0005761702855427964,0.002801513671875,0.0019041061401367167,0.0011147816975911333,0.0008065064748128268,0.0007745742797851433,0.00076815287272134,0.0003463764985402419,0.0008570035298665201,0.0011201222737630167,0.0005653063456217452,0.00027142365773518567
4,-0.00012090206146239525,-0.00010428031285601862,-0.0006515502929687564,7.590154806772075e-05,-2.1121899286897587e-05,7.836818695068287e-05,5.538860956826935e-05,-5.836387475329519e-05,0.00033105214436850145,-0.00010319153467813627,0.0008855183919270732,4.873275756836603e-05,0.00030974547068276305,0.00015918811162313253,5.761782328301393e-06,-0.00011762777964274089,1.6904125610987347e-05,7.722576459247257e-05,1.1755029360453288e-05,7.607142130535002e-05,2.384160955746552e-05,-2.10424264272004e-05,0.0002214153607686223,5.360444386797631e-06,0.00018470287322998235,0.00027484099070230263,0.00014350414276121775,4.421869913736646e-05,-0.00010422070821126676,8.709828058876362e-05,7.17480977376349e-05,1.8420815467831763e-05,0.0007594505945841472,0.0005160570144653262,6.1027208964022955e-05,0.00012439886728922612,0.00075974464416504,0.00032455126444498324,-2.064108848571257e-05,9.013811747232032e-05,0.00011599858601886668,-4.3243169784542565e-05,0.0010818163553873601,0.0005399703979492068,-2.7441978454581396e-05,1.3012687365222256e-05,-0.000621294975280762,-0.00026512940724689963,-0.00028116504351297886,0.00274810791015625,0.0003471692403157533,-5.729993184411406e-06,-1.7225742340089236e-05,5.9705972671503994e-05,3.680189450581827e-05,3.4888088703145e-05,0.0009331385294596366,0.0011234283447265566,-2.1265943845105192e-05,-0.0007497668266296224,0.0054696718851725236,0.00044838587443032604,-1.053834954897292e-05,5.0810972849526316e-05
5,0.00108655293782552,0.0032877604166666667,0.0009221394856770701,0.00021349589029949004,-0.00034214655558266916,0.002216084798177083,0.00033486684163412,0.0005605379740396995,0.0010830799738565972,0.00017690658569334664,0.0008285522460937433,3.692309061685239e-05,0.0011100451151529868,0.0018835862477620396,0.0011025587717692,0.0031864166259765532,0.0003691116968790711,-0.00015983581542968335,0.000416310628255213,2.5405486424775352e-05,0.00015662511189778905,0.00019497672716776635,-3.084341684976713e-05,-6.847381591796114e-05,0.00765380859375,0.00020911991596220028,0.0025652567545572896,0.0005104064941406167,0.004114786783854167,0.0007584889729817633,0.00019142627716062932,0.0002347042163213038,9.143948554992312e-05,-9.380181630451756e-05,-7.668236891428483e-05,4.2403489351276745e-05,-0.00021052559216816282,9.60588455200185e-05,6.0731172561645927e-05,0.0001748720804850233,0.00032353401184081636,0.0006773948669433534,-0.0013275146484375,0.0004472851753234811,-0.000293878714243574,0.00028417110443113735,0.0009244600931803401,0.00020909309387206007,6.105502446481675e-06,0.0001613616943359467,-9.270012378693065e-05,0.0005497614542643066,3.6517779032399214e-05,0.0006230036417643167,9.816189606985269e-05,0.00013893445332846573,0.0010154724121093734,0.0005375385284423703,0.0002496798833211176,0.0007876435915629032,0.00022520422935484337,-7.409056027729784e-05,0.000283364454905178,0.00060129165649413
6,0.0002678116162617934,6.317297617593255e-05,0.0003534952799479,0.0011216799418131533,0.00044692357381183,0.0004734039306640533,0.0012479146321614533,0.0010501861572265532,-0.0010314623514811358,0.0032379150390625,0.00056393941243489,6.2840183575946e-05,0.00028217633565266384,0.0002678592999776237,0.00018161535263060531,0.00033541123072304937,0.0005117416381835866,0.00018803278605141667,0.00057954788208005,0.0003275235493977633,0.00020198822021482335,0.0006678263346354066,8.774052063623346e-05,8.884270985919078e-05,0.00012192428112030362,0.00023494164148964183,0.0003510475158691254,0.0012935002644856714,0.00014480551083881504,0.0005170742670695002,0.00144414901733398,0.0005437215169270867,0.0004120985666910667,0.00039446353912351515,0.0008132298787434833,0.0004723230997721367,0.00041672388712564,0.000206295649210597,0.0013729095458984333,0.0005637486775716096,0.0001005967458089023,-2.060929934184172e-05,0.0001215497652689541,1.0414918263738785e-05,-4.142870505650005e-05,-9.305675824482463e-05,3.0763943990068273e-05,-0.0001523176829020132,0.00072377522786458,0.00022574663162230516,0.0008969624837239533,0.003995259602864583,6.272792816159912e-05,6.533861160276456e-05,0.00015319188435870978,0.00060580571492512,9.44291551907876e-05,2.7870138486246178e-06,-0.0004301706949869741,3.600219885508636e-05,2.2828578949067273e-06,-0.00023903846740720833,-2.690156300861859e-05,0.0009876569112141833
7,0.0019438425699869733,-0.0005350112915039033,7.582505544026443e-05,0.0028659184773763098,0.0006026903788248692,0.001562945048014317,9.425481160479332e-05,-0.0003525694211323995,0.0002069592475890885,2.4692217508949423e-05,0.0002710660298665167,9.933710098265934e-05,0.0012109120686848932,0.00243250528971354,-0.00021635691324868996,-0.00017034212748209804,0.0043914794921875,0.001167305310567218,0.0012235641479492133,0.00368830362955729,0.0013952096303304045,0.0045845031738281266,0.0042538960774739605,0.0006122589111328066,-0.0005491733551025411,0.0013021310170491563,4.374186197916396e-05,0.00010581413904825178,0.00157966613769531,0.0010988871256510401,0.0008288065592447834,0.0008896509806315034,0.0003045717875162648,0.00018424987792969,-7.661183675128625e-05,-0.004665056864420574,-7.384022076923181e-06,0.0022151947021484333,-0.0002198139826456693,0.0016667683919270866,0.00047756830851237005,0.00031193693478900306,0.0004932880401611186,0.0014527638753255166,0.0017054239908854167,0.0004204312960306653,0.0011971155802408735,0.0007053057352701766,0.0012017250061035101,0.0003441810607910033,0.002910359700520833,0.0011389414469400968,0.0001240551471710082,0.00023031234741208666,0.0002463817596435322,-1.533428827920675e-05,-0.00020335515340167874,2.351601918538776e-05,0.00027845700581868177,-0.0014689127604166634,0.0009528080622355116,0.0003187815348307219,-0.0001685837904612121,-6.192525227864417e-05
8,-0.0008784135182698518,0.00011813640594482754,-4.938642183939404e-05,0.0002703905105590735,6.769895553588761e-05,-8.872275551159528e-05,-2.5749206542914647e-06,-1.1909008026127632e-05,0.00029694239298500995,0.00011987288792926101,0.009907023111979166,0.00030066172281900043,9.813110033670478e-05,0.0002916336059570229,0.0025307655334472668,-0.00044161478678384126,0.00012590487798055721,9.819666544595646e-05,0.00010329087575276349,0.0011915206909179667,0.00267181396484375,0.0007939259211222252,0.000433985392252586,0.0003517786661783866,7.388989130656883e-05,0.00026559432347613376,-0.00015373229980468,0.00026858647664388145,0.00023461977640787512,0.0006210962931314899,9.288390477581675e-07,-4.604657491048001e-05,0.0001240809758504283,0.0007028818130493193,0.00019276539484659123,-0.00030167897542317647,-0.0007780710856119756,0.00038933753967284484,-0.00013909538586934117,0.0004090627034505133,0.0009147544701894079,6.414453188578246e-05,0.0001546720663706417,-0.0008466323216756125,-0.0005361557006835896,5.728006362915956e-05,0.0004164695739746029,0.00028327306111652667,-5.983511606850974e-05,-0.00024368762969968454,-6.780624389648166e-05,-0.0006693760553995637,-0.004561360677083333,0.0008939107259114567,0.0002120892206827741,-0.0005144834518432675,0.00187530517578125,0.00012484391530355923,0.0006406704584757453,-0.0007168054580688389,0.00271371205647786,0.0029927571614583332,8.655389149982891e-05,7.44620958964001e-05
9,0.00023598670959471988,0.0004733721415201729,-0.00022643407185872478,0.0031407674153645835,5.455613136291422e-05,-2.0853678385424487e-05,0.0001317620277404675,0.0001730283101399677,0.00013283888498942506,-0.0002297083536783833,0.0005817095438639201,0.0001410404841105089,0.0013753255208333302,-0.0001450339953104763,0.00014264980951945194,0.00017139911651610224,-0.00023207664489746158,0.0004493713378906154,-0.0008270899454752667,-0.00018643935521444225,8.792877197264668e-05,0.00015527407328288617,-0.0005264918009440166,-0.00021292368570963668,5.9851010640464326e-05,-0.00027018388112386236,0.0003735224405924308,-8.552372455595611e-05,-0.0020764350891113266,0.00015025536219279688,0.00020215113957722721,0.00014412403106689366,4.479661583896806e-06,-0.0010758082071940114,0.0018652598063151032,0.0004618277152379177,0.000817159811655671,-3.442565600077207e-05,0.0011450449625651,0.011277262369791667,0.0002761681874593182,0.00167064666748046,0.0004011770089467146,7.629394531251457e-05,1.1968612670890014e-05,-0.0001589457194010367,0.00030272801717122667,0.0005304972330729209,0.0011571884155273367,0.001080322265625,-0.000345293680826821,0.0041239738464355505,0.011785888671875,0.0007776896158854,0.0006705284118652134,0.0007281621297200366,-0.0006455739339192834,-5.311965942382668e-05,0.00036386003096897606,-0.0010946591695149754,-0.00031213760375976997,0.0006270090738932233,0.00027210712432861495,0.00046888987223306665
