layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.011800130208333334,-0.015889485677083332,-0.006017049153645833,-0.010904947916666666,0.0008443196614583334,0.011144002278645834,-0.023234049479166668,0.010915120442708334,-0.0058670043945312665,0.0223388671875,-0.015482584635416666,0.00067138671875,0.0010833740234375,0.0003059705098469885,-0.015543619791666666,0.01690673828125,0.009765625,-0.0016682942708333333,0.015324910481770834,0.019643147786458332,0.005900065104166667,-0.010050455729166666,0.025095621744791668,-0.004801432291666667,-0.0037434895833333335,0.006642659505208333,0.0006459554036458334,-0.013753255208333334,-0.000518798828125,0.0026753743489583335,0.017252604166666668,0.008430480957031266,0.020914713541666668,0.019612630208333332,0.0120849609375,0.004552841186523433,0.00026575724283853355,0.012227376302083334,-0.0040817260742187665,-0.007664998372395833
1,-0.011617024739583334,-0.038818359375,0.025533040364583332,-0.015360514322916666,0.0016759236653645666,0.011250813802083334,0.0016504923502603998,-1.523892084757487e-05,-0.00017023086547851562,0.0034027099609375,0.166015625,0.044392903645833336,-0.014394124348958334,-0.07112630208333333,-0.018412272135416668,0.0022430419921875,-0.004628499348958333,4.935264587402344e-05,0.0238037109375,0.021280924479166668,-0.0019938151041666665,0.040608723958333336,-0.04345703125,0.01220703125,-0.009674072265625,-0.0008951822916666666,0.2885945638020833,6.536642710367839e-05,-6.739298502601875e-05,0.0005254745483398354,0.008280436197916666,-0.0066986083984375,0.0030924479166666665,-0.0015665690104166667,-0.012369791666666666,0.012339274088541666,-0.0010579427083333333,-0.0061632792154948,-0.010294596354166666,-0.021443684895833332
2,-0.007024129231770833,-0.014241536458333334,0.029449462890625,0.0121307373046875,0.0026524861653646,-0.0099932352701823,0.0311279296875,-0.01409912109375,-0.013458251953125,-0.000244140625,-0.00067138671875,0.035970052083333336,0.00177001953125,-0.0004984537760416666,-0.0004475911458333333,-0.002056757609049433,-0.001288096110026,-0.0040562947591145666,0.0008583068847656082,-0.009958902994791666,0.015619913736979166,0.0017598470052083333,-0.0016717910766602003,-0.016927083333333332,-0.0087890625,0.01446533203125,0.059895833333333336,0.01409912109375,0.018819173177083332,-2.2888183593766768e-05,-0.017110188802083332,0.006134033203125,0.00689697265625,0.0277099609375,0.007008870442708333,0.096771240234375,0.02118619283040363,-0.08203125,0.0078125,0.012430826822916666
3,0.0011157989501953001,0.026204427083333332,0.059326171875,0.023406982421875,0.032511393229166664,0.020624796549479168,0.033284505208333336,0.014567057291666666,0.07674153645833333,0.034520467122395836,-0.001351515452067028,0.00506591796875,-0.0012207031249999668,-9.409586588543333e-05,-0.0105743408203125,0.005381266276041667,0.009511311848958334,0.0107701619466146,-0.0091730753580729,0.025166829427083332,0.020579020182291668,0.031778971354166664,0.007380167643229167,0.011189778645833334,0.038655598958333336,-0.010045369466145834,0.0115966796875,-0.008992513020833334,0.038981119791666664,-0.0031280517578125,0.0740966796875,0.03759765625,0.037923177083333336,0.0037841796875,-0.035115559895833336,-0.001953125,-0.008764902750651067,0.028238932291666668,0.0104217529296875,0.055338541666666664
4,0.0031305948893229,0.042887369791666664,0.0005391438802083334,0.033671061197916664,-0.008463541666666666,-0.0017344156901041667,0.0153071085611979,-0.0070877075195312335,0.007649739583333333,-0.005105813344319661,0.007568359375,-0.002433776855468733,-0.0019378662109375,0.012613932291666666,0.031819661458333336,0.0010782877604166667,0.04541015625,0.046549479166666664,0.09342447916666667,0.10400390625,-0.008575439453125,0.019383748372395832,-0.001708984375,-0.0012003580729166667,0.000396728515625,-0.0017293294270833333,-0.024637858072916668,-0.0230865478515625,-0.013069152832031234,-0.0245043436686198,0.014984130859375,0.10807291666666667,0.054361979166666664,0.008697509765625,0.103515625,0.052652994791666664,0.061475118001302065,0.023966471354166668,0.0035279591878255,0.07261149088541667
5,-0.0013046264648437667,0.00048700968424476664,0.004277547200520833,0.3098958333333333,0.0032450358072916665,0.009684244791666666,0.010294596354166666,0.013448079427083334,0.0306396484375,0.010986328125,0.0037384033203125,-0.0008605321248372333,0.001861572265625,-0.0024210611979166665,-5.722045898440001e-05,0.014363606770833334,0.00848388671875,0.02978515625,0.056477864583333336,0.0220947265625,0.036539713541666664,0.014383951822916666,0.026621500651041668,0.0234375,0.035176595052083336,0.036702473958333336,0.0030771891276041665,0.003966013590494767,0.0031178792317708335,0.0030924479166666665,0.0004475911458333333,-0.0050048828125,-0.0053526560465495,-0.004947662353515633,0.0032297770182291665,0.0036722819010416665,0.014729817708333334,0.007558186848958333,0.011250813802083334,0.0059839884440104005
6,0.036295572916666664,0.01287841796875,0.016581217447916668,0.023966471354166668,-0.007130940755208333,-0.0031534830729166665,0.011586507161458334,0.025227864583333332,0.3798828125,0.012318929036458334,0.0034891764322916665,0.005884806315104167,0.004709879557291667,0.016312917073567735,0.012868245442708334,0.053304036458333336,0.024210611979166668,0.006724039713541667,0.0048370361328125,0.005788167317708333,0.004725138346354167,0.020284016927083332,0.008951822916666666,0.012359619140625,0.01898193359375,0.025919596354166668,0.008636474609375,0.019856770833333332,0.010233561197916666,0.008585611979166666,0.009221394856770834,0.020243326822916668,0.008229573567708334,0.0033365885416666665,0.011484781901041666,0.007680257161458333,7.120768229166667e-05,0.0007591247558594,0.019999186197916668,0.008158365885416666
7,0.017618815104166668,0.0081329345703125,0.013895670572916666,0.014841715494791666,0.008229573567708334,0.013214111328125,0.051025390625,0.017374674479166668,0.019490559895833332,0.025919596354166668,0.020060221354166668,0.016866048177083332,0.010386149088541666,0.0017649332682291667,0.008799235026041666,0.0022074381510416665,0.0031585693359375,0.024820963541666668,0.01898193359375,0.0001220703125,0.029296875,0.037801106770833336,0.0034027099609375,0.009867350260416666,0.005350748697916667,0.011962890625,0.005193074544270833,0.0021273295084635333,0.0023905436197916665,0.006744384765625,0.005889892578125,0.006917317708333333,0.004297892252604167,0.12711588541666666,0.033040364583333336,0.0028622945149739663,0.045939127604166664,0.0206298828125,-0.010050455729166666,0.044759114583333336
8,-0.00011229515075682343,-0.0013742446899413666,7.192293802896302e-05,0.5872395833333334,-3.814697265626677e-05,0.0350341796875,-0.0050125122070312665,0.01983642578125,-0.0010795593261719,0.0025380452473958335,0.004227956136067733,0.038492838541666664,0.031392415364583336,0.030598958333333332,0.07731119791666667,0.019734700520833332,0.006535847981770833,0.027587890625,0.018310546875,0.008463541666666666,0.0043799082438151,0.0048681894938151,0.008280436197916666,0.0017193158467610802,0.00091552734375,0.0015818277994791333,0.018137613932291668,0.01513671875,0.0015284220377603998,0.0008443196614583334,0.0065765380859375,0.001104990641276,0.0206298828125,0.009440104166666666,0.036905924479166664,0.014546712239583334,0.0048446655273437335,0.0024477640787760667,0.0299072265625,0.0039011637369791665
9,0.009185791015625,0.025960286458333332,0.025105794270833332,0.004994710286458333,0.014485677083333334,0.004364013671875,0.0024134318033854,0.0021120707194010667,0.0012257893880207999,0.0025583902994791665,-0.0135498046875,0.043416341145833336,0.0439453125,0.0038706461588541665,0.028401692708333332,0.00433349609375,0.004889806111653633,0.003105163574218767,0.0014654795328776001,0.008641560872395834,0.009928385416666666,0.010162353515625,0.007588704427083333,0.024190266927083332,0.018839518229166668,0.009104410807291666,0.0074907938639323,-0.012237548828125,0.0013071695963541667,0.0012474060058593665,0.01715087890625,0.020263671875,0.023295084635416668,0.012532552083333334,0.007822672526041666,-0.0008951822916666666,0.005198160807291667,-0.0029815038045247332,0.006627400716145833,0.004638671875
10,0.009185791015625,0.006825764973958333,0.0036633809407552002,0.0012194315592448,0.011088053385416666,0.008219401041666666,0.0075531005859375,0.02276611328125,0.01336669921875,0.010528564453125,-0.0011647542317708667,0.06331380208333333,-0.0113525390625,0.0015970865885416667,0.0051116943359375,0.022705078125,0.0015341440836588666,0.0030924479166666665,0.0019251505533854334,0.0010782877604166667,0.039794921875,0.026407877604166668,0.011962890625,0.008855183919270834,0.006429036458333333,0.009684244791666666,0.034912109375,0.0060577392578125,0.011484781901041666,-0.0015920003255208333,0.0027313232421875,0.005686442057291667,0.00726318359375,0.0018870035807291331,0.0018819173177083,0.027180989583333332,0.011739095052083334,0.10550944010416667,0.004155476888020833,0.024943033854166668
11,0.007390340169270833,0.0050328572591145666,0.006375630696614567,0.005711873372395833,0.008658885955810547,0.0017827351888021002,0.005844593048095703,0.006032307942708333,-0.0003763834635416667,0.004730224609375,0.012492497762044266,0.0017668406168619667,0.005839029947916667,0.016133626302083332,0.008056640625,0.005071004231770833,0.029500325520833332,0.041707356770833336,0.002342780431111637,0.019694010416666668,0.009389241536458334,0.0072517395019531,0.0043512980143229,0.018229166666666668,0.0150146484375,0.02740478515625,0.004292805989583333,0.0098876953125,0.00038782755533850005,9.282430013016667e-05,0.002655029296875,0.007108052571614567,0.0020599365234375,0.017801920572916668,0.007064819335937468,0.042561848958333336,0.007120768229166667,0.007517496744791667,0.017415364583333332,0.032796223958333336
12,0.019673665364583332,0.14306640625,0.038330078125,0.0234832763671875,0.8033854166666666,0.00762939453125,0.0026601155598958335,0.006891886393229167,0.006205240885416667,0.012705485026041666,0.00103759765625,0.0027033487955729,0.0041275024414062335,0.009755452473958334,0.0060920715332031,0.031046549479166668,0.052978515625,0.03326416015625,0.061767578125,0.010823567708333334,0.005315144856770833,0.022318522135416668,0.013570149739583334,0.015604654947916666,0.0025507609049479334,0.00011253356933589999,0.00079345703125,0.004404703776041667,0.0005633036295572333,0.0002263387044270333,0.011189778645833334,0.019022623697916668,0.007680257161458333,0.009267171223958334,0.024068196614583332,0.4153645833333333,0.024759928385416668,0.0280303955078125,0.035888671875,0.0047480265299479334
13,0.011868794759114567,0.0057525634765625,0.0019582112630208335,0.006378173828125,0.0784912109375,0.006988525390625,0.01202392578125,0.0316162109375,0.012900034586588532,0.0233154296875,0.005345662434895833,0.005828857421875,0.00128173828125,0.0017859141031901001,-0.00028868516286215026,0.005147298177083333,0.16943359375,0.015767415364583332,0.011759440104166666,0.13004557291666666,0.0379638671875,0.03448486328125,0.022511800130208332,0.023274739583333332,0.026468912760416668,0.98046875,0.3001302083333333,0.00010458628336586666,0.13541666666666666,0.00909423828125,0.0016835530598958333,0.03125,0.009653727213541666,0.072021484375,0.052978515625,0.014200846354166666,0.7200520833333334,0.034281412760416664,0.0390625,0.09847005208333333
