example_id,layer,head,nas
2027,0,0,-0.01226806640625
2027,0,1,-0.001922607421875
2027,0,2,-0.005828857421875
2027,0,3,-0.0234375
2027,0,4,-0.01483154296875
2027,0,5,-0.015869140625
2027,0,6,-0.0130615234375
2027,0,7,-0.0145263671875
2027,0,8,-0.00885009765625
2027,0,9,-0.01483154296875
2027,0,10,-0.00083160400390625
2027,0,11,0.0024261474609375
2027,0,12,-0.00421142578125
2027,0,13,-0.0038299560546875
2027,0,14,-0.0001850128173828125
2027,0,15,-0.00469970703125
2027,0,16,-0.00162506103515625
2027,0,17,-0.001983642578125
2027,0,18,-0.0010223388671875
2027,0,19,-0.00384521484375
2027,0,20,-0.002044677734375
2027,0,21,-0.006927490234375
2027,0,22,-0.005645751953125
2027,0,23,-0.0111083984375
2027,0,24,-0.017822265625
2027,0,25,-0.0067138671875
2027,0,26,-0.01483154296875
2027,0,27,-0.00811767578125
2027,0,28,-0.0023345947265625
2027,0,29,-0.00107574462890625
2027,0,30,0.00010967254638671875
2027,0,31,1.0186340659856796e-08
2027,1,0,-0.000759124755859375
2027,1,1,-0.000579833984375
2027,1,2,0.000637054443359375
2027,1,3,-0.0014801025390625
2027,1,4,0.0002765655517578125
2027,1,5,-0.00051116943359375
2027,1,6,-6.818771362304688e-05
2027,1,7,0.00115203857421875
2027,1,8,-0.0107421875
2027,1,9,-0.0014190673828125
2027,1,10,-0.0034637451171875
2027,1,11,-0.0016021728515625
2027,1,12,0.00555419921875
2027,1,13,-0.00121307373046875
2027,1,14,-0.00188446044921875
2027,1,15,-0.0027008056640625
2027,1,16,-8.106231689453125e-05
2027,1,17,-0.000827789306640625
2027,1,18,-0.0002880096435546875
2027,1,19,-0.0030059814453125
2027,1,20,1.2755393981933594e-05
2027,1,21,8.404254913330078e-06
2027,1,22,-0.00034332275390625
2027,1,23,1.3671875
2027,1,24,-0.00061798095703125
2027,1,25,-0.0009918212890625
2027,1,26,-0.00064849853515625
2027,1,27,-0.0014801025390625
2027,1,28,0.0033111572265625
2027,1,29,-0.004608154296875
2027,1,30,-0.00238037109375
2027,1,31,-0.0021514892578125
2027,2,0,0.000553131103515625
2027,2,1,0.003204345703125
2027,2,2,0.00087738037109375
2027,2,3,0.007415771484375
2027,2,4,0.0013885498046875
2027,2,5,0.010009765625
2027,2,6,0.0068359375
2027,2,7,-0.00092315673828125
2027,2,8,0.000873565673828125
2027,2,9,0.000514984130859375
2027,2,10,0.0038909912109375
2027,2,11,0.00110626220703125
2027,2,12,0.78125
2027,2,13,0.00179290771484375
2027,2,14,0.0341796875
2027,2,15,0.00701904296875
2027,2,16,-0.00019073486328125
2027,2,17,0.0024566650390625
2027,2,18,0.000576019287109375
2027,2,19,0.0194091796875
2027,2,20,0.80859375
2027,2,21,0.003204345703125
2027,2,22,0.080078125
2027,2,23,0.0052490234375
2027,2,24,-0.01385498046875
2027,2,25,0.115234375
2027,2,26,0.3046875
2027,2,27,0.0164794921875
2027,2,28,0.0004558563232421875
2027,2,29,0.004486083984375
2027,2,30,-8.487701416015625e-05
2027,2,31,-0.00010395050048828125
2027,3,0,0.01177978515625
2027,3,1,0.0244140625
2027,3,2,0.001251220703125
2027,3,3,0.0030364990234375
2027,3,4,-0.000881195068359375
2027,3,5,-0.000194549560546875
2027,3,6,-0.003631591796875
2027,3,7,0.0026702880859375
2027,3,8,0.000568389892578125
2027,3,9,0.004486083984375
2027,3,10,-0.000774383544921875
2027,3,11,-0.00119781494140625
2027,3,12,0.0546875
2027,3,13,0.007232666015625
2027,3,14,0.0007781982421875
2027,3,15,0.0096435546875
2027,3,16,0.00186920166015625
2027,3,17,0.00017547607421875
2027,3,18,0.000598907470703125
2027,3,19,0.003204345703125
2027,3,20,0.0036468505859375
2027,3,21,0.006134033203125
2027,3,22,0.01519775390625
2027,3,23,-0.00104522705078125
2027,3,24,-0.000415802001953125
2027,3,25,0.006805419921875
2027,3,26,0.00482177734375
2027,3,27,-0.341796875
2027,3,28,0.005615234375
2027,3,29,0.00136566162109375
2027,3,30,0.00933837890625
2027,3,31,0.0120849609375
2027,4,0,0.01190185546875
2027,4,1,0.0025482177734375
2027,4,2,-0.00110626220703125
2027,4,3,-0.00083160400390625
2027,4,4,0.009521484375
2027,4,5,0.03662109375
2027,4,6,0.060546875
2027,4,7,0.003082275390625
2027,4,8,0.00860595703125
2027,4,9,0.00726318359375
2027,4,10,0.005401611328125
2027,4,11,0.002655029296875
2027,4,12,0.00017261505126953125
2027,4,13,0.005340576171875
2027,4,14,3.504753112792969e-05
2027,4,15,-0.01043701171875
2027,4,16,1.984375
2027,4,17,0.00138092041015625
2027,4,18,-0.0003604888916015625
2027,4,19,0.028076171875
2027,4,20,0.0076904296875
2027,4,21,0.006591796875
2027,4,22,0.00110626220703125
2027,4,23,0.006988525390625
2027,4,24,-0.000904083251953125
2027,4,25,-0.0014801025390625
2027,4,26,0.006683349609375
2027,4,27,0.0002613067626953125
2027,4,28,0.005584716796875
2027,4,29,-0.002960205078125
2027,4,30,0.0006561279296875
2027,4,31,-0.00091552734375
2027,5,0,0.0087890625
2027,5,1,0.1005859375
2027,5,2,0.0078125
2027,5,3,0.003692626953125
2027,5,4,1.265625
2027,5,5,0.609375
2027,5,6,-2.0625
2027,5,7,-0.034423828125
2027,5,8,0.2275390625
2027,5,9,0.90234375
2027,5,10,0.140625
2027,5,11,2.25
2027,5,12,0.00555419921875
2027,5,13,0.00180816650390625
2027,5,14,0.00109100341796875
2027,5,15,0.0020751953125
2027,5,16,0.01397705078125
2027,5,17,0.064453125
2027,5,18,0.036865234375
2027,5,19,0.00201416015625
2027,5,20,0.00457763671875
2027,5,21,-0.054443359375
2027,5,22,0.016845703125
2027,5,23,0.0107421875
2027,5,24,0.00494384765625
2027,5,25,0.007293701171875
2027,5,26,0.004608154296875
2027,5,27,-0.0009765625
2027,5,28,0.04638671875
2027,5,29,0.01300048828125
2027,5,30,0.0093994140625
2027,5,31,0.003448486328125
2027,6,0,-0.0035400390625
2027,6,1,0.0079345703125
2027,6,2,0.0020751953125
2027,6,3,0.025390625
2027,6,4,0.15234375
