layer,head,avg_sas_change,frequency
36,23,-0.41244859940358064,31
24,21,-0.294805373726917,25
38,30,-0.38277611906401854,23
32,24,-0.31231037753858987,22
38,36,0.03624187922140843,21
36,16,-0.37623952004450056,19
36,37,0.13580596112640655,19
20,23,-0.2145205751757805,18
20,20,-0.3260330165272636,17
8,0,-0.04621002062721641,16
42,32,-0.9405081363648428,14
25,7,-0.5837954531109922,13
53,19,-0.466806836516179,12
42,30,-0.07029324114655784,12
16,24,0.24105716146901496,10
35,23,0.08387891007234807,10
41,7,0.2625916450906121,9
37,24,-1.2646958043264116,8
36,36,0.765128704697404,8
32,23,0.08790005507616916,8
35,35,-0.5741992562364189,7
35,24,0.4476646407088059,7
32,20,-0.32392876668948084,7
51,11,-1.059755376582207,5
38,11,0.012594757888023816,5
25,35,2.173452123622841,4
17,36,-0.3272684387624534,4
13,36,3.1167635698855185,3
39,10,-2.0255327225110205,3
40,21,1.1266734087854948,3
41,35,-0.7657584490830581,3
27,19,0.5998786194374661,3
39,29,-0.14961412217881964,3
50,20,-0.0384901924770026,3
24,16,0.026696182478500658,3
25,27,0.026230639100974635,3
41,26,-3.3333536783854165,2
36,15,1.1965434265136718,2
26,30,-0.6142926897321428,2
34,10,0.4614691734313965,2
60,4,-0.3624375694610228,2
62,13,0.2359971560265382,2
26,22,-0.08760030110677086,2
57,18,0.07420282256962445,2
5,1,-0.056667327880859375,2
41,4,-0.05624517712966525,2
21,24,0.053081068891418344,2
26,32,-0.04296875,2
14,36,-0.032665946184884165,2
52,30,-0.018119169132330137,2
53,16,-5.8125,1
15,36,3.1171351841517856,1
32,11,-2.9638671875,1
34,34,-2.51837158203125,1
34,38,-2.479248046875,1
40,16,-2.3782012939453123,1
41,6,-2.21943359375,1
15,38,2.210688789685567,1
25,3,-2.1680908203125,1
1,17,0.3093303922588462,1
62,38,0.2825504201926933,1
60,7,0.2545915952581444,1
60,5,0.2383924446358586,1
53,5,0.2178610460647685,1
1,29,0.2158322156659814,1
60,9,0.1297286956370631,1
25,4,-0.1268709865185098,1
14,8,0.1243696273127689,1
42,6,-0.0975738315407288,1
33,30,0.0963769505877013,1
28,2,-0.0920209097206045,1
35,25,-0.0800446377524845,1
19,36,-0.070925474732737,1
60,10,-0.0303696875983214,1
61,17,-0.0248537620799726,1
54,1,0.0235499506992481,1
21,21,0.020802687323628,1
59,31,0.0120876141612836,1
60,11,0.0105308977212396,1
62,4,-0.0097020203933054,1
37,34,-0.0090766869306303,1
