layer,head,avg_sas_change,frequency
36,23,-0.4470635778582256,32
20,23,0.371576566890046,24
32,24,-0.4641210340268861,20
8,0,0.38698874054399457,20
38,36,-0.7665808669782198,19
24,21,0.31817275475589285,18
41,7,-0.7491472759572246,16
36,37,-0.6000145711767391,16
38,30,-1.2722675560876255,15
20,20,-0.048233813507168016,15
42,30,-0.6632244871218916,14
40,21,0.15725861299841834,14
42,32,0.47195925367216357,13
25,7,-0.9936337907973787,12
32,20,0.04811945179107106,10
34,10,0.06021690066546534,8
36,24,0.0016314838560629874,8
25,35,2.1837492430860506,6
17,36,0.03587658685703595,6
51,11,1.1635371561093457,5
35,23,-0.11242831873431265,5
41,35,3.9246325038728256,4
13,36,2.044995989118304,4
41,26,1.634919384592848,4
36,16,-1.0981082916259766,4
50,20,1.0923491133729815,4
35,25,-0.18443789278004913,4
5,1,-0.040996888821775324,4
48,19,-0.02603108167826504,4
35,24,0.019152756676155014,4
14,36,0.9982593420780064,3
16,24,0.9882232575189499,3
1,17,0.5955731570957339,3
16,22,0.15803597422818036,3
57,18,-0.0279104098748842,3
53,19,5.374755859375,2
25,3,-4.380327622095744,2
37,24,-2.496846880231585,2
35,35,-2.4863825943063484,2
25,4,-1.971194153640703,2
54,2,1.7497087935326805,2
26,32,0.882537841796875,2
29,9,-0.881591796875,2
27,19,0.41021233917658073,2
54,1,-0.38843592425701085,2
24,16,-0.12458423660376533,2
59,31,-0.0756375034730119,2
13,25,0.027234935009563144,2
41,39,-0.02611335221610085,2
38,11,0.016738728000046797,2
12,35,0.015853371329203947,2
22,36,-5.788726806640625,1
53,16,5.319549560546875,1
25,6,5.0078125,1
26,30,4.290802001953125,1
34,38,3.7470703125,1
34,11,3.312704086303711,1
38,17,2.8916015625,1
32,23,0.5438800915865831,1
41,18,-0.4035967588424682,1
43,4,-0.0927023650474951,1
42,6,-0.0898684321994511,1
33,30,0.0885316301399551,1
25,8,0.0706522590235661,1
26,5,-0.0693967430524423,1
61,22,-0.0681354277570482,1
14,8,-0.065974760055542,1
42,3,0.0659155341940866,1
24,8,-0.0645684658641546,1
41,4,0.0600306193033852,1
2,38,0.0587746539311102,1
18,39,0.0579776037307012,1
25,24,0.0572222241184166,1
13,39,-0.0568874904087611,1
34,39,0.054803466796875,1
60,10,-0.0305808421992852,1
52,31,-0.0296928602959836,1
19,25,-0.0248600493325511,1
32,22,-0.0237596389458386,1
42,5,-0.0218666665505346,1
60,11,0.0184955235760091,1
57,10,0.0154679339639729,1
