layer,head,avg_sas_change,frequency
12,6,-0.027726487254431175,37
18,3,-0.04538202318790744,34
18,0,0.07880393322189969,32
18,2,0.2094607667534506,31
15,21,-0.11740770355412057,31
7,19,-0.05913916104676895,29
14,9,0.07847718730730972,28
12,7,-0.3213356892246633,23
14,26,-0.11459558571589187,23
2,22,-0.06604159637398087,21
21,1,0.24527366067206707,20
12,15,0.055802281800683425,14
25,18,0.46308913226424875,13
26,5,0.6752021552756297,12
11,29,-1.0245249548490971,11
7,18,-0.26165026022075877,11
2,21,-0.1748597975447195,11
11,6,1.037081994204444,8
12,11,0.10183518283468056,5
9,26,0.09756836945521993,5
9,12,0.05261811813608486,5
14,8,-0.39859227264229125,3
26,4,0.37709501104930854,3
9,2,-0.10559140348804859,3
12,19,3.2310409545898438,2
12,9,1.4396976229554652,2
19,8,-1.2500862317207533,2
30,4,0.5173709908428485,2
21,19,0.0362196890985005,2
6,2,0.026103311734974932,2
25,29,-0.0131590602700183,2
15,16,3.3101806640625,1
14,25,-2.21673583984375,1
2,0,0.0466915766398112,1
16,19,0.0360077436153704,1
14,2,0.0339971689077524,1
30,1,-0.0323439378004807,1
31,6,-0.029074618690892,1
26,7,-0.026788410387541,1
10,8,0.0180144816306427,1
8,3,0.0173473791728495,1
22,30,-0.0126610789359465,1
25,30,-0.0120891781314239,1
14,11,-0.0099805740842839,1
