layer,head,avg_sas_no_cot,frequency_no_cot,avg_sas_2S_cot,frequency_2S_cot,total_frequency
17,61,2.2769743955672324,11.0,2.2853740379027223,12.0,23.0
26,24,1.4157070417275786,15.0,0.5109465965570188,8.0,23.0
31,35,1.1993890372110534,11.0,0.19600211599811593,11.0,22.0
30,33,3.1872249360055327,12.0,1.229294354887129,9.0,21.0
27,38,3.208262057720178,12.0,1.0947695683468615,6.0,18.0
17,62,0.15043631573998045,5.0,0.31156082260015033,11.0,16.0
33,16,2.0508058511248497,4.0,1.2474536377472112,11.0,15.0
31,36,0.4928850806972717,9.0,0.4124331182315026,6.0,15.0
14,21,1.809100170583776,1.0,1.6250562964730733,12.0,13.0
21,30,1.6256242369791458,8.0,0.38042871933025113,5.0,13.0
17,12,0.25391817137478234,5.0,0.4178866378630921,6.0,11.0
31,42,1.0626212260714583,7.0,0.051471585572314536,3.0,10.0
31,37,0.0569932725694444,1.0,0.16581453816678085,8.0,9.0
35,43,2.350847393333781,6.0,1.1340536678538604,2.0,8.0
30,30,0.5557446345305891,8.0,0.0,0.0,8.0
27,44,0.9943956302407899,8.0,0.0,0.0,8.0
18,43,2.865987844001237,7.0,0.0,0.0,7.0
15,21,0.06447103788440987,3.0,0.14065397581230377,3.0,6.0
21,61,0.90625,1.0,0.0999566007663226,5.0,6.0
29,27,0.7843975834099399,4.0,0.014608734813669349,2.0,6.0
19,4,0.0,0.0,0.9614904878092894,6.0,6.0
78,38,1.59375,1.0,0.2661190935360488,4.0,5.0
69,39,0.1228525979178292,1.0,0.24144893173525583,3.0,4.0
21,19,0.40488084126529644,4.0,0.0,0.0,4.0
44,44,0.0534521032262731,1.0,0.0595538725207504,2.0,3.0
44,40,0.19163842294730388,2.0,0.2070006916114876,1.0,3.0
30,47,2.7178633432539683,3.0,0.0,0.0,3.0
17,59,0.0,0.0,0.24358796972498573,3.0,3.0
14,31,0.1178900436717462,2.0,0.0893712361653645,1.0,3.0
18,48,2.7897007181186866,3.0,0.0,0.0,3.0
73,38,0.0,0.0,0.04390941642586843,3.0,3.0
76,61,0.0,0.0,0.024629491542461968,3.0,3.0
66,38,0.133203125,1.0,0.14723390199804814,2.0,3.0
16,37,0.0,0.0,0.0491397903079078,2.0,2.0
76,44,0.0,0.0,0.10538130751601205,2.0,2.0
31,47,0.1285422186801115,2.0,0.0,0.0,2.0
70,8,0.0,0.0,0.02834905607492435,2.0,2.0
72,7,0.9375,1.0,0.0657881921337496,1.0,2.0
25,11,0.0,0.0,0.11371866861979166,2.0,2.0
23,41,0.0,0.0,0.0397390731983939,2.0,2.0
11,14,0.0776759556361607,1.0,0.0,0.0,1.0
12,62,0.2095162527901785,1.0,0.0,0.0,1.0
18,47,0.0,0.0,0.328369140625,1.0,1.0
18,45,0.0,0.0,1.494140625,1.0,1.0
18,4,0.1184779575892857,1.0,0.0,0.0,1.0
17,56,2.62109375,1.0,0.0,0.0,1.0
15,23,0.0206602096557617,1.0,0.0,0.0,1.0
14,10,0.020775556564331,1.0,0.0,0.0,1.0
26,29,0.0867483956473214,1.0,0.0,0.0,1.0
20,63,0.4706143465909091,1.0,0.0,0.0,1.0
31,31,0.0,0.0,0.0991257676133164,1.0,1.0
29,12,0.0,0.0,0.053541483702483,1.0,1.0
27,22,0.0,0.0,0.029677497016059,1.0,1.0
26,30,0.0382473185911017,1.0,0.0,0.0,1.0
27,32,0.0,0.0,0.0152896929390822,1.0,1.0
27,50,0.0,0.0,0.0083764957476265,1.0,1.0
28,16,0.0061853346517747,1.0,0.0,0.0,1.0
28,40,0.137109375,1.0,0.0,0.0,1.0
23,15,0.0,0.0,0.0112596101398709,1.0,1.0
21,36,0.0,0.0,0.0410998800526494,1.0,1.0
20,62,0.4573863636363636,1.0,0.0,0.0,1.0
23,45,0.0,0.0,0.0158323352619753,1.0,1.0
23,47,0.0,0.0,0.0227525499131944,1.0,1.0
25,60,0.2125,1.0,0.0,0.0,1.0
26,28,0.0340754593474955,1.0,0.0,0.0,1.0
31,38,0.0,0.0,0.91015625,1.0,1.0
52,21,0.0,0.0,1.14453125,1.0,1.0
35,45,0.0,0.0,0.0072776079177856,1.0,1.0
34,25,0.0,0.0,0.0078759729862213,1.0,1.0
35,25,0.035299089219835,1.0,0.0,0.0,1.0
33,44,0.615728759765625,1.0,0.0,0.0,1.0
33,12,0.1933322482638889,1.0,0.0,0.0,1.0
33,21,0.0,0.0,0.0927989031817462,1.0,1.0
33,43,0.0319312509864267,1.0,0.0,0.0,1.0
72,2,0.0,0.0,0.0623262466922883,1.0,1.0
57,4,0.0,0.0,0.0063613891601562,1.0,1.0
60,25,0.0,0.0,0.0245107014973958,1.0,1.0
64,48,0.0,0.0,0.0217584768931071,1.0,1.0
76,14,0.0806884765625,1.0,0.0,0.0,1.0
73,34,0.0,0.0,0.0231795538039434,1.0,1.0
76,45,0.0855712890625,1.0,0.0,0.0,1.0
77,53,0.2578129487879136,1.0,0.0,0.0,1.0
