layer,head,avg_sas_change,frequency
8,22,0.0736819463490319,21
8,21,-0.05264857709405038,18
14,6,0.02215774295687324,18
14,0,-0.0034552621471272017,18
16,1,-0.06796630254429191,17
8,27,-0.14341135940547708,15
14,2,0.1109362083342535,15
17,24,0.014540626161425508,15
15,20,-0.06152172350335967,14
3,11,-0.22864468516908873,11
8,25,-0.14901980375794216,10
15,19,0.189128831141698,9
4,11,0.1216977858267786,7
0,15,-0.03176806867719262,7
8,24,-0.13965085398587412,5
1,0,0.08201336115900197,5
3,13,0.06951704529306613,5
2,26,0.06042267430158678,5
5,1,0.005121804074381675,5
14,1,-0.650327484833533,4
0,3,0.2731209114017121,3
1,4,0.24864642619163635,3
27,10,0.04127901308787626,3
16,0,1.7442747262807994,2
17,14,0.7365741814507378,2
10,2,-0.5233626415111401,2
18,15,0.15483536728029326,2
0,25,0.11043834542840471,2
2,0,-0.022722274712015267,2
15,18,-0.006633895184706307,2
5,19,-0.002512913961987495,2
14,8,0.0006990875777612982,2
11,26,1.9110042865459735,1
16,7,1.8813260151789737,1
25,15,0.4785924639020647,1
16,2,0.3882591610863096,1
0,27,0.1467399451790785,1
11,19,0.1405934656447753,1
17,1,0.1150695705413819,1
18,13,0.103997817853602,1
0,1,0.1011182244231061,1
16,6,0.0893891652425129,1
19,7,0.0890586471557618,1
25,17,0.0813610895474751,1
6,17,-0.0114943947741362,1
7,6,-0.0105999993963325,1
22,4,0.0095645299405295,1
22,5,-0.0091086531664269,1
14,13,0.0091027087392694,1
14,11,0.0089924664091853,1
19,19,0.0086773612981667,1
