layer,head,avg_sas_change,frequency
30,33,0.06626453787539624,32
27,38,-0.16626325757961352,31
17,61,0.013782185687374512,24
14,21,-0.042223068981868186,23
18,43,-0.16987642684274082,22
35,43,-0.049534526683911236,22
26,24,-0.0840195094561155,21
33,16,0.6434246937534971,18
52,21,0.507956263032821,12
31,38,-0.4011403926007026,12
18,48,-0.3560799766858456,12
19,4,0.03835163977643325,11
30,47,-0.3159299632262167,9
21,30,0.27100831235869555,9
31,35,-0.26675088363088845,7
17,56,-1.3883956735216694,5
19,0,-1.0220001898504696,5
18,45,0.6905667936323292,5
30,30,-0.5364749256234208,5
17,12,0.7001546408025985,4
14,18,-0.03419961490392193,4
26,27,0.015976264871841644,4
21,33,1.8348204040527343,3
53,1,-0.584904309908549,3
31,39,-0.5020381539414972,3
33,12,0.2166425248238608,3
15,20,-0.09416331898158838,3
31,36,-0.0229789832973586,3
15,19,0.9210892395941097,2
29,27,-0.5046234905719758,2
78,38,-0.4245578020811081,2
35,19,0.3176901681082589,2
32,52,0.08405740756099506,2
44,40,0.0206790118483663,2
17,62,0.01767152994224285,2
44,44,0.01246205409341795,2
23,41,-3.5546875,1
27,21,-2.65234375,1
27,44,-2.078206380208333,1
25,11,-2.01708984375,1
23,13,-1.9710693359375,1
31,42,-1.9549967447916663,1
23,14,-1.8349609375,1
31,32,-1.4163531135110294,1
28,47,1.4148923700506035,1
19,34,-1.1124526977539064,1
38,48,0.8975049187155331,1
14,17,-0.4227626102942007,1
66,38,0.1473766766488552,1
72,7,0.1361147120594978,1
21,24,0.1050250232219696,1
33,14,0.0991333864629268,1
28,16,0.0417846395999569,1
21,19,-0.0400245702719385,1
26,30,-0.0373614682989606,1
25,37,0.0366862816146657,1
26,28,0.0307688955533302,1
28,40,0.0302020230535733,1
32,22,0.0299954192113068,1
14,31,-0.0290512796175681,1
20,62,-0.0273348274877516,1
77,53,0.0228316456394397,1
76,58,0.010899274424792,1
21,61,-0.0107591612538274,1
69,39,0.0082708408234784,1
