layer,head,avg_sas_no_cot,frequency_no_cot,avg_sas_2S_cot,frequency_2S_cot,total_frequency
9,2,0.514204855932479,11.0,0.11697625434726082,14.0,25.0
21,1,1.9754037000631608,10.0,1.5728740815141455,15.0,25.0
14,9,2.365963505401014,18.0,0.10998107266820023,5.0,23.0
26,5,1.2711149424663002,9.0,0.8567423024375072,11.0,20.0
13,5,0.4925093248860339,5.0,0.2044334232839525,14.0,19.0
12,15,1.2881816433538402,18.0,0.0,0.0,18.0
10,8,0.9151524000853961,10.0,0.1072531015022349,7.0,17.0
18,3,2.9494975876202885,8.0,1.149056730608931,9.0,17.0
18,2,1.8023044161683657,12.0,0.6215593514328275,5.0,17.0
12,6,3.2011567255202187,15.0,0.9564716467696628,1.0,16.0
18,0,2.8093932183282364,9.0,1.1247183730595638,7.0,16.0
12,8,0.0,0.0,0.2040694359872879,16.0,16.0
7,19,3.555872132964167,14.0,0.0,0.0,14.0
12,7,0.0,0.0,1.4494289503536257,14.0,14.0
11,6,1.1457034486689792,10.0,0.15589092712634234,2.0,12.0
2,21,0.0,0.0,0.9544364450514915,12.0,12.0
26,4,0.6596468384502925,4.0,0.34532454713247124,7.0,11.0
30,1,0.2209891514187779,5.0,0.4447701839504136,6.0,11.0
15,16,1.2896728515625,2.0,0.14341231292719064,8.0,10.0
7,18,0.0,0.0,1.0952288720473375,10.0,10.0
12,19,0.0,0.0,0.11452303064858471,10.0,10.0
9,28,0.0,0.0,0.14920736988854566,9.0,9.0
9,12,0.15446722564776125,5.0,0.12056980515482425,3.0,8.0
2,22,2.773183110612309,8.0,0.0,0.0,8.0
14,25,1.5843795329870594,7.0,0.0,0.0,7.0
15,21,2.415625,1.0,0.8045159359162607,5.0,6.0
7,21,0.118153673537234,1.0,0.09563058122685028,4.0,5.0
25,18,0.48677707485534716,5.0,0.0,0.0,5.0
14,26,3.2632068297435888,5.0,0.0,0.0,5.0
2,0,0.1130734707446808,1.0,0.07935038783256415,4.0,5.0
10,2,0.0238972212138928,1.0,0.0585027646301384,2.0,3.0
26,7,0.0,0.0,0.16027724056066492,3.0,3.0
24,6,0.0432454744974772,1.0,0.01984521853618125,2.0,3.0
25,29,0.05394312073613277,3.0,0.0,0.0,3.0
14,2,0.674035966226518,3.0,0.0,0.0,3.0
20,28,0.0,0.0,0.04365043066751625,2.0,2.0
9,26,0.0,0.0,0.842315673828125,2.0,2.0
5,6,0.0,0.0,0.04263013203938795,2.0,2.0
11,29,3.182770798141892,2.0,0.0,0.0,2.0
11,9,0.18645558805547208,2.0,0.0,0.0,2.0
19,8,0.0774458215591755,1.0,0.0147172324677817,1.0,2.0
11,20,0.0,0.0,0.0075761393496864,1.0,1.0
11,12,0.1664381760817307,1.0,0.0,0.0,1.0
6,2,0.0,0.0,0.7501530433768657,1.0,1.0
2,2,0.426080322265625,1.0,0.0,0.0,1.0
8,23,0.0,0.0,0.1262613932291666,1.0,1.0
8,2,0.0,0.0,0.0112545615748355,1.0,1.0
12,23,0.5688985862479304,1.0,0.0,0.0,1.0
16,17,0.0,0.0,0.0562174870417668,1.0,1.0
16,16,0.265380859375,1.0,0.0,0.0,1.0
14,24,0.0,0.0,0.1352214813232422,1.0,1.0
14,11,0.0102871860852485,1.0,0.0,0.0,1.0
15,5,1.595703125,1.0,0.0,0.0,1.0
15,6,1.57080078125,1.0,0.0,0.0,1.0
15,7,2.46015625,1.0,0.0,0.0,1.0
20,11,0.0,0.0,0.1829315185546875,1.0,1.0
21,19,0.0600352769487359,1.0,0.0,0.0,1.0
20,23,0.0,0.0,0.0207634089543269,1.0,1.0
21,3,0.0151798471973739,1.0,0.0,0.0,1.0
24,9,0.0528516447945926,1.0,0.0,0.0,1.0
30,4,0.1206473018346207,1.0,0.0,0.0,1.0
30,6,0.1110369221548016,1.0,0.0,0.0,1.0
31,6,0.0286672491776315,1.0,0.0,0.0,1.0
