layer,head,avg_sas_no_cot,frequency_no_cot,avg_sas_2S_cot,frequency_2S_cot,total_frequency
8,11,2.9210561619496307,15.0,1.212234744097551,13.0,28.0
16,23,0.25962988382893337,7.0,0.46436195244947326,19.0,26.0
9,27,2.6211082344462735,17.0,0.780177700347603,3.0,20.0
10,28,0.7535041360294117,2.0,0.13387538753818604,18.0,20.0
5,6,0.6058567043358257,19.0,0.0,0.0,19.0
21,22,0.3644306287908127,11.0,0.07929729037026653,7.0,18.0
9,13,0.41887676905071924,2.0,0.0944626781062222,14.0,16.0
14,19,1.6383832882551488,3.0,0.6340942234524201,13.0,16.0
13,19,0.38412259857540576,8.0,0.07006798528978582,8.0,16.0
10,2,0.0,0.0,1.0170693014946341,15.0,15.0
13,5,0.5020963882317677,7.0,0.0644782130452341,8.0,15.0
15,30,1.5337335682854623,6.0,0.15877889876445297,9.0,15.0
15,28,0.44869704847506964,13.0,0.0,0.0,13.0
16,20,0.0772408705491286,1.0,0.23179507817344625,12.0,13.0
10,3,0.0,0.0,0.0941493930116399,12.0,12.0
13,20,0.625907217553932,10.0,0.0479999853844198,2.0,12.0
12,6,0.4684845536046813,7.0,0.16785385616241935,4.0,11.0
7,25,0.39061320576690817,2.0,0.12285694219548214,8.0,10.0
5,10,0.0,0.0,0.7755819311173054,10.0,10.0
11,8,0.5911416948256056,10.0,0.0,0.0,10.0
13,18,2.877994992202006,7.0,0.9860350848638524,2.0,9.0
5,4,1.8561006256571868,9.0,0.0,0.0,9.0
5,11,2.2749980375746164,8.0,0.0,0.0,8.0
20,23,0.26083036780059915,4.0,0.0864663199452951,4.0,8.0
21,21,0.0697554024109929,2.0,0.04520488737680386,5.0,7.0
9,31,3.643504601392442,6.0,1.2433449074074074,1.0,7.0
10,1,3.262781810698531,6.0,0.0,0.0,6.0
19,12,0.4043207271020995,5.0,0.0,0.0,5.0
11,6,0.0528061416122939,1.0,0.04004714102401692,4.0,5.0
5,8,0.0,0.0,0.5313428001596119,5.0,5.0
24,7,0.0,0.0,0.13323584072173583,5.0,5.0
8,14,0.17725066300276865,2.0,0.1100242705572219,2.0,4.0
29,21,0.0,0.0,0.143446778457947,4.0,4.0
8,31,0.3699707228346369,3.0,0.0436081519493689,1.0,4.0
6,29,0.1338852489327366,2.0,0.0348701936652861,1.0,3.0
8,8,0.0436246940888554,1.0,0.0736868413289388,2.0,3.0
8,0,0.06753559572150905,2.0,0.0,0.0,2.0
11,20,0.0,0.0,0.04637127921411355,2.0,2.0
5,22,0.1430589233923345,2.0,0.0,0.0,2.0
0,0,0.7206159319196428,2.0,0.0,0.0,2.0
27,7,0.07762532126634634,2.0,0.0,0.0,2.0
26,6,0.0,0.0,0.10540080297560915,2.0,2.0
20,1,0.18688948484424492,2.0,0.0,0.0,2.0
11,13,0.3896892949515476,2.0,0.0,0.0,2.0
14,4,0.37012360960572627,2.0,0.0,0.0,2.0
13,11,0.3303415689123682,2.0,0.0,0.0,2.0
23,10,0.8063441685267857,1.0,0.0749386378696986,1.0,2.0
0,11,0.0429303399447737,1.0,0.0,0.0,1.0
4,16,0.0,0.0,0.0108570829350897,1.0,1.0
3,27,0.0870282649993896,1.0,0.0,0.0,1.0
9,12,0.1104141719757564,1.0,0.0,0.0,1.0
5,21,0.1268349299355158,1.0,0.0,0.0,1.0
13,0,0.0684557462993421,1.0,0.0,0.0,1.0
12,29,0.0726019052358774,1.0,0.0,0.0,1.0
11,12,1.7147163722826086,1.0,0.0,0.0,1.0
10,18,0.0,0.0,0.1209650039672851,1.0,1.0
6,22,0.0,0.0,0.0581923166910807,1.0,1.0
13,3,0.0,0.0,0.0241509782507064,1.0,1.0
14,18,0.0,0.0,0.0265066964285714,1.0,1.0
13,4,0.0,0.0,0.0206468330239349,1.0,1.0
16,21,0.0768162653996394,1.0,0.0,0.0,1.0
15,1,0.0,0.0,0.0593065534319196,1.0,1.0
17,8,0.0,0.0,0.11159111778077,1.0,1.0
16,25,0.0441627083243904,1.0,0.0,0.0,1.0
29,9,0.0066199118780982,1.0,0.0,0.0,1.0
30,1,0.3269130161830357,1.0,0.0,0.0,1.0
31,3,0.4688502720424107,1.0,0.0,0.0,1.0
31,21,0.0,0.0,0.0589804119533962,1.0,1.0
