file,dataset,model,column,min,max,mean,median,std,count
sas_2S_cot_unknown.csv,stereo,qwen32b,sas,-6.9375,11.1875,0.0013572153438148166,3.725290298461914e-06,0.08930931539503008,652800
sas_no_cot_unknown.csv,stereo,qwen32b,sas,-8.125,12.5625,0.009789935506177797,0.0002632141113281,0.3432080923085575,652800
sas_2S_cot_unknown.csv,stereo,qwq,sas,-8.5,13.1875,0.0039595024458617,3.6597251892089844e-05,0.14936107448997943,652800
sas_no_cot_unknown.csv,stereo,qwq,sas,-9.125,12.75,0.011353539777278814,0.0003328323364257,0.43135040810584196,652800
sas_2S_cot_unknown.csv,stereo,mistral7b,sas,-7.03125,7.84375,0.0030045092002909785,-1.2159347534179688e-05,0.15077008369804917,261120
sas_no_cot_unknown.csv,stereo,mistral7b,sas,-7.90625,9.375,0.010594630231494817,9.012222290039062e-05,0.3654970244999428,261120
sas_2S_cot_unknown.csv,mina,llama8b,sas,-4.28125,4.59375,0.0030033418473247356,2.8014183044433597e-05,0.09159415459184601,2211840
sas_no_cot_unknown.csv,mina,llama8b,sas,-8.5,7.1875,0.012811806155120708,0.0005302429199218,0.26917253003812797,2211840
sas_2S_cot_unknown.csv,mina,llama70b,sas,-6.03125,6.78125,0.0015146288248557044,6.5267086029052734e-06,0.04672127141573118,11059200
sas_no_cot_unknown.csv,mina,llama70b,sas,-7.0,8.875,0.005141747623019955,7.152557373046875e-05,0.1023775308648984,11059200
sas_2S_cot_unknown.csv,mina,qwen7b,sas,-13.5,6.1875,0.000896216501595578,1.0989606380462646e-07,0.08110297549737447,1693440
sas_no_cot_unknown.csv,mina,qwen7b,sas,-15.75,20.875,0.005339052315605179,2.7418136596679688e-05,0.2067392806215387,1693440
sas_2S_cot_unknown.csv,mina,qwen32b,sas,-6.96875,8.4375,0.0007530384391381646,7.82310962677002e-07,0.07151238146759901,5529600
sas_no_cot_unknown.csv,mina,qwen32b,sas,-8.8125,8.1875,0.001640281635627015,1.436471939086914e-05,0.23634768300344167,5529600
sas_2S_cot_unknown.csv,mina,qwq,sas,-8.0625,10.875,0.004874437993354212,1.2218952178955078e-05,0.15136185785339407,5529600
sas_no_cot_unknown.csv,mina,qwq,sas,-10.0625,10.4375,0.006535602372014611,0.0001001358032226,0.27246018095281305,5529600
sas_2S_cot_unknown.csv,mina,mistral7b,sas,-9.0,8.6875,0.0017749971632483243,3.6600977182388306e-07,0.1522344300725984,2211840
sas_no_cot_unknown.csv,mina,mistral7b,sas,-9.0625,9.6875,0.009497647109619803,0.0001459121704101,0.32470709945024295,2211840
